cDen,Pot,Sn %,pH,C2H4,CO,H2,EtoH,Formate
150,3.5,100,14.05,0.0,23.0,12.0,0.0,61.0
150,3.3,80,14.05,0.0,23.0,7.0,0.0,66.0
150,3.2,50,14.05,0.0,34.0,5.0,3.0,52.0
150,3.1,10,14.05,1.0,42.0,5.0,2.0,42.0
150,3.0,5,14.05,4.0,48.0,5.0,10.0,19.0
150,3.0,3,14.05,7.0,50.0,5.0,11.0,14.0
150,2.8,0,14.05,15.0,47.0,11.0,6.0,11.0
250,4.0,100,14.05,0.0,20.0,11.0,0.0,64.0
250,3.8,80,14.05,0.0,20.0,9.0,0.0,67.0
250,3.7,50,14.05,1.0,27.0,7.0,3.0,58.0
250,3.6,10,14.05,3.0,34.0,7.0,3.0,45.0
250,3.6,5,14.05,6.0,50.0,6.0,8.0,19.0
250,3.5,3,14.05,8.0,43.0,6.0,19.0,14.0
250,3.2,0,14.05,28.0,31.0,14.0,9.0,8.0
350,4.3,100,14.05,0.0,22.0,12.0,0.0,63.0
350,4.2,80,14.05,0.0,17.0,10.0,0.0,70.0
350,4.1,50,14.05,2.0,36.0,8.0,2.0,48.0
350,4.1,10,14.05,6.0,23.0,7.0,12.0,42.0
350,4.0,5,14.05,8.0,12.0,7.0,32.0,23.0
350,4.0,3,14.05,9.0,5.0,6.0,48.0,9.0
350,3.6,0,14.05,31.0,15.0,15.0,14.0,9.0
450,4.7,100,14.05,0.0,18.0,37.0,0.0,33.0
450,4.6,80,14.05,0.0,10.0,32.0,0.0,50.0
450,4.6,50,14.05,2.0,19.0,33.0,2.0,39.0
450,4.5,10,14.05,3.0,10.0,30.0,7.0,37.0
450,4.5,5,14.05,6.0,10.0,29.0,21.0,14.0
450,4.4,3,14.05,10.0,5.0,27.0,26.0,9.0
450,4.2,0,14.05,25.0,9.0,28.0,11.0,8.0
141,4.0,100,8.02,0.0,22.0,16.0,0.0,59.0
143,4.0,80,8.02,0.0,19.0,13.0,0.0,62.0
143,4.0,50,8.02,1.0,27.0,10.0,2.0,56.0
145,4.0,10,8.02,11.0,33.0,10.0,4.0,38.0
149,4.0,5,8.02,21.0,28.0,10.0,14.0,19.0
150,4.0,3,8.02,24.0,18.0,9.0,25.0,14.0
150,4.0,0,8.02,37.0,13.0,17.0,11.0,7.0
150,3.6,3,8.02,23.9516455003848,30.1638245898852,8.0746270905033,12.9500698712962,12.9637854288436
171,4.0,3,8.02,23.5229207070851,18.3025347055621,9.0892864927848,24.5018432130924,13.8573229091115
201,4.6,3,8.02,25.0941959137853,9.9039458950663,19.441244821239,21.0536165548886,17.7508603893795
250,4.8,3,8.02,10.9287494632566,13.4479266098054,20.3243561125343,18.1799782917349,10.9757870283591
300,5.0,3,8.02,4.7417870283591,8.787025653007,49.9651242686884,6.3838742920026,3.4172703854086
155,3.6,0,8.02,35.2370069164999,13.282547530464228,18.73624416304261,10.9027938195891,6.861121691424602
188,4.0,0,8.02,36.9988704281936,12.99435611253431,16.774227939166824,10.9649454595548,6.656260264403318
246,4.6,0,8.02,31.17997829173489,14.877270385408567,23.5542278045006,9.95313880634531,6.447926609805407
250,4.7,0,8.02,19.7743561125343,9.761244821239,28.4982279391668,8.167025653007,5.9757870283591
300,5.0,0,8.02,8.4899782917349,4.0116165548886,54.1787006916499,2.167025653007,1.7742279391668
150,3.6,5,8.02,21.079995124523645,16.425787028359117,14.168749463256585,12.2124268688442,17.65262312100915
170,4.0,5,8.02,20.787025653007007,15.921065628188183,14.383874292002584,12.3599669143359,18.179264971486276
198,4.6,5,8.02,20.4940561814904,14.4163442280172,17.5989991207486,11.5075069598276,18.0059068219634
250,4.8,5,8.02,7.3025347055621,11.7508603893795,24.0941959137853,6.9039458950663,19.1799782917349
300,5.1,5,8.02,2.9943561125343,4.4982279391668,54.0116165548886,2.4899782917349,7.3838742920026
